Feature,Importance
AF4_gamma_power,0.2590248614220306
AF4_theta_power,0.0681604111778687
T8_gamma_power,0.05808424063403336
T8_alpha_power,0.04071888016059415
T7_gamma_power,0.04028916871892503
Pz_alpha_power,0.03551482659781016
Pz_beta_power,0.03434469308735386
AF4_max,0.032935226296045485
AF3_skew,0.03171067272685966
T7_kurtosis,0.031674718448909976
AF4_beta_power,0.02806228083614819
AF3_alpha_power,0.025241959851775533
T7_beta_power,0.02418156770396893
AF3_kurtosis,0.023377332471952915
T8_beta_power,0.02331978543517451
AF4_entropy,0.020723803704784913
AF3_delta_power,0.02047218386699602
T7_alpha_power,0.01814247109347764
AF3_theta_power,0.014992015339662263
T8_kurtosis,0.012259782312092633
T7_delta_power,0.011876714216463061
AF3_beta_power,0.011189351720730656
T7_max,0.00996885376830728
AF4_alpha_power,0.00987042163014808
T8_entropy,0.00975947200206869
T8_min,0.008772956019986662
T7_theta_power,0.0063851803775373155
AF3_entropy,0.006274337830857628
AF3_gamma_power,0.005247200791209515
AF4_energy,0.004875110935026772
T8_std,0.004050347011016471
Pz_gamma_power,0.004036079962352233
AF4_delta_power,0.003980613425094266
AF4_std,0.0035796073992471074
Pz_delta_power,0.003419162159770344
AF3_max,0.0032401977640456356
Pz_median,0.0030645768831429015
AF4_min,0.0028387148355305514
Pz_kurtosis,0.0027948542307077743
Pz_theta_power,0.002617995663156857
T8_theta_power,0.0026173096867206512
AF4_kurtosis,0.0025968438807374506
Pz_mean,0.0025480149615688657
T8_energy,0.0024180461327176044
AF3_median,0.002372148559129914
Pz_skew,0.002305281425994536
T7_var,0.0020849475407595905
T7_skew,0.0018999227128631108
T7_min,0.001881904220196251
Pz_max,0.0018289566220476504
Pz_energy,0.0016897384892434087
AF3_std,0.0016787158767919584
AF4_skew,0.0015009594336327402
T7_std,0.0013914050561823436
T7_entropy,0.0012710651817778066
T8_delta_power,0.0011738814755283906
Pz_entropy,0.001122129021520622
T8_max,0.0009203415239534551
Pz_min,0.0009072669928063703
Pz_std,0.0007063919917558653
AF3_min,0.0007023621365504671
T8_skew,0.00061093834043806
Pz_var,0.0005092756914136641
AF3_var,0.00048110583032692967
AF3_energy,0.00043689347685495265
T7_energy,0.0003402917759989491
AF3_mean,0.0002846506630553314
AF4_var,0.00023276851384883342
AF4_median,0.000214390733428468
T8_mean,0.00018550908510171882
AF4_mean,1.3912454189872047e-05
T7_mean,0.0
T7_median,0.0
T8_var,0.0
T8_median,0.0
